account_id,district_id,frequency,Account_type,date_joined,Account_Owner_Type
1960,31,POPLATEK MESICNE,NRI account,1997-12-04,Joint Account
1049,18,POPLATEK MESICNE,NRI account,1997-12-04,Single Owner
298,35,POPLATEK MESICNE,Savings account,1997-12-02,Joint Account
1717,67,POPLATEK MESICNE,NRI account,1997-12-02,Single Owner
10005,64,POPLATEK MESICNE,Salary account,1997-11-29,Single Owner
4386,51,POPLATEK TYDNE,Salary account,1997-11-29,Single Owner
1868,16,POPLATEK TYDNE,Savings account,1997-11-29,Single Owner
232,45,POPLATEK MESICNE,Savings account,1997-11-29,Single Owner
1798,46,POPLATEK MESICNE,Savings account,1997-11-28,Single Owner
421,75,POPLATEK MESICNE,NRI account,1997-11-27,Single Owner
3715,74,POPLATEK MESICNE,Savings account,1997-11-27,Single Owner
934,9,POPLATEK MESICNE,Savings account,1997-11-27,Joint Account
3333,44,POPLATEK MESICNE,Salary account,1997-11-27,Single Owner
215,31,POPLATEK MESICNE,Salary account,1997-11-25,Joint Account
1523,52,POPLATEK PO OBRATU,NRI account,1997-11-24,Single Owner
3102,33,POPLATEK MESICNE,Savings account,1997-11-23,Joint Account
295,66,POPLATEK MESICNE,NRI account,1997-11-23,Single Owner
2979,10,POPLATEK MESICNE,Savings account,1997-11-22,Single Owner
2850,57,POPLATEK MESICNE,Savings account,1997-11-22,Single Owner
2832,12,POPLATEK MESICNE,Salary account,1997-11-22,Single Owner
3105,37,POPLATEK MESICNE,Savings account,1997-11-21,Single Owner
2162,50,POPLATEK MESICNE,NRI account,1997-11-21,Joint Account
1125,1,POPLATEK TYDNE,Savings account,1997-11-21,Joint Account
3382,23,POPLATEK TYDNE,Savings account,1997-11-20,Single Owner
2125,43,POPLATEK TYDNE,NRI account,1997-11-20,Single Owner
3396,1,POPLATEK MESICNE,Salary account,1997-11-20,Single Owner
3365,11,POPLATEK MESICNE,Savings account,1997-11-18,Single Owner
2693,17,POPLATEK MESICNE,NRI account,1997-11-17,Joint Account
1866,4,POPLATEK MESICNE,Savings account,1997-11-17,Single Owner
149,43,POPLATEK MESICNE,NRI account,1997-11-16,Single Owner
3082,33,POPLATEK MESICNE,NRI account,1997-11-16,Single Owner
3156,1,POPLATEK PO OBRATU,Salary account,1997-11-16,Single Owner
2438,71,POPLATEK MESICNE,Salary account,1997-11-16,Single Owner
1833,54,POPLATEK MESICNE,Salary account,1997-11-15,Single Owner
2221,58,POPLATEK MESICNE,NRI account,1997-11-15,Single Owner
2658,27,POPLATEK MESICNE,Salary account,1997-11-14,Joint Account
2721,74,POPLATEK MESICNE,NRI account,1997-11-14,Joint Account
2920,73,POPLATEK MESICNE,Savings account,1997-11-13,Single Owner
566,8,POPLATEK MESICNE,Savings account,1997-11-13,Joint Account
1245,68,POPLATEK MESICNE,NRI account,1997-11-12,Single Owner
1348,55,POPLATEK MESICNE,Savings account,1997-11-12,Joint Account
3423,11,POPLATEK MESICNE,Salary account,1997-11-10,Single Owner
2831,1,POPLATEK MESICNE,Savings account,1997-11-10,Single Owner
2211,61,POPLATEK PO OBRATU,Salary account,1997-11-10,Single Owner
3360,71,POPLATEK MESICNE,Salary account,1997-11-10,Single Owner
952,41,POPLATEK MESICNE,Savings account,1997-11-09,Single Owner
696,54,POPLATEK MESICNE,NRI account,1997-11-09,Single Owner
2998,21,POPLATEK MESICNE,Salary account,1997-11-09,Single Owner
867,60,POPLATEK MESICNE,NRI account,1997-11-09,Single Owner
1208,4,POPLATEK MESICNE,Savings account,1997-11-09,Single Owner
2391,2,POPLATEK MESICNE,NRI account,1997-11-07,Single Owner
1140,49,POPLATEK MESICNE,Salary account,1997-11-07,Single Owner
644,4,POPLATEK MESICNE,NRI account,1997-11-06,Single Owner
2402,18,POPLATEK MESICNE,NRI account,1997-11-06,Single Owner
3395,16,POPLATEK MESICNE,NRI account,1997-11-05,Single Owner
2296,29,POPLATEK MESICNE,Savings account,1997-11-05,Joint Account
10613,55,POPLATEK MESICNE,Salary account,1997-11-04,Single Owner
606,75,POPLATEK MESICNE,NRI account,1997-11-04,Single Owner
9227,51,POPLATEK MESICNE,NRI account,1997-11-04,Single Owner
1723,70,POPLATEK MESICNE,Salary account,1997-11-04,Joint Account
3404,33,POPLATEK MESICNE,Savings account,1997-11-04,Single Owner
1657,12,POPLATEK MESICNE,Salary account,1997-11-04,Single Owner
639,1,POPLATEK MESICNE,NRI account,1997-11-03,Joint Account
3325,11,POPLATEK MESICNE,NRI account,1997-11-03,Single Owner
1703,72,POPLATEK MESICNE,Savings account,1997-11-02,Single Owner
3598,76,POPLATEK MESICNE,Savings account,1997-11-02,Single Owner
782,42,POPLATEK MESICNE,Salary account,1997-10-30,Joint Account
2784,40,POPLATEK MESICNE,NRI account,1997-10-30,Single Owner
671,60,POPLATEK MESICNE,Salary account,1997-10-29,Single Owner
643,64,POPLATEK MESICNE,Savings account,1997-10-28,Single Owner
1340,52,POPLATEK MESICNE,NRI account,1997-10-28,Single Owner
2703,61,POPLATEK MESICNE,Savings account,1997-10-28,Single Owner
2413,33,POPLATEK MESICNE,Savings account,1997-10-27,Single Owner
3963,9,POPLATEK MESICNE,Salary account,1997-10-27,Single Owner
876,4,POPLATEK MESICNE,Salary account,1997-10-26,Single Owner
1172,6,POPLATEK MESICNE,Savings account,1997-10-25,Single Owner
398,69,POPLATEK MESICNE,NRI account,1997-10-24,Joint Account
2174,18,POPLATEK MESICNE,Savings account,1997-10-24,Joint Account
3705,20,POPLATEK MESICNE,Salary account,1997-10-24,Joint Account
1209,23,POPLATEK MESICNE,NRI account,1997-10-23,Single Owner
2371,15,POPLATEK TYDNE,Salary account,1997-10-23,Joint Account
852,57,POPLATEK MESICNE,Savings account,1997-10-23,Single Owner
2152,22,POPLATEK MESICNE,Savings account,1997-10-23,Joint Account
3857,54,POPLATEK MESICNE,Salary account,1997-10-22,Single Owner
156,64,POPLATEK MESICNE,Savings account,1997-10-22,Single Owner
3922,68,POPLATEK MESICNE,NRI account,1997-10-22,Single Owner
2910,68,POPLATEK MESICNE,NRI account,1997-10-21,Single Owner
2756,24,POPLATEK MESICNE,Savings account,1997-10-21,Single Owner
1572,72,POPLATEK MESICNE,NRI account,1997-10-21,Single Owner
1615,1,POPLATEK MESICNE,Salary account,1997-10-20,Single Owner
2311,28,POPLATEK MESICNE,NRI account,1997-10-19,Single Owner
2556,46,POPLATEK MESICNE,Savings account,1997-10-19,Single Owner
961,1,POPLATEK MESICNE,Savings account,1997-10-18,Single Owner
2579,24,POPLATEK MESICNE,Savings account,1997-10-18,Single Owner
3919,34,POPLATEK MESICNE,NRI account,1997-10-18,Joint Account
3875,44,POPLATEK MESICNE,NRI account,1997-10-18,Single Owner
550,24,POPLATEK MESICNE,Savings account,1997-10-17,Single Owner
3324,3,POPLATEK MESICNE,Salary account,1997-10-17,Single Owner
1061,44,POPLATEK MESICNE,Salary account,1997-10-17,Single Owner
2215,48,POPLATEK MESICNE,Salary account,1997-10-17,Single Owner
2053,5,POPLATEK MESICNE,NRI account,1997-10-16,Joint Account
3561,33,POPLATEK MESICNE,Salary account,1997-10-15,Single Owner
1807,21,POPLATEK MESICNE,NRI account,1997-10-15,Single Owner
11327,7,POPLATEK MESICNE,NRI account,1997-10-15,Single Owner
2231,2,POPLATEK MESICNE,Salary account,1997-10-14,Single Owner
966,15,POPLATEK MESICNE,Salary account,1997-10-14,Single Owner
1968,16,POPLATEK TYDNE,NRI account,1997-10-14,Single Owner
2879,15,POPLATEK MESICNE,NRI account,1997-10-14,Joint Account
3023,35,POPLATEK MESICNE,Savings account,1997-10-14,Single Owner
1279,28,POPLATEK MESICNE,NRI account,1997-10-13,Joint Account
502,1,POPLATEK MESICNE,Salary account,1997-10-13,Single Owner
1506,51,POPLATEK MESICNE,Savings account,1997-10-13,Single Owner
5708,64,POPLATEK TYDNE,NRI account,1997-10-12,Single Owner
7049,69,POPLATEK MESICNE,NRI account,1997-10-12,Single Owner
121,55,POPLATEK MESICNE,NRI account,1997-10-11,Single Owner
1727,9,POPLATEK MESICNE,Savings account,1997-10-11,Single Owner
2097,46,POPLATEK MESICNE,Savings account,1997-10-11,Single Owner
133,64,POPLATEK TYDNE,Savings account,1997-10-11,Single Owner
2897,51,POPLATEK MESICNE,Savings account,1997-10-11,Single Owner
745,43,POPLATEK MESICNE,Salary account,1997-10-09,Single Owner
3813,1,POPLATEK MESICNE,NRI account,1997-10-09,Joint Account
1342,9,POPLATEK MESICNE,Savings account,1997-10-09,Joint Account
2069,72,POPLATEK MESICNE,Savings account,1997-10-08,Joint Account
205,1,POPLATEK MESICNE,Savings account,1997-10-08,Single Owner
1150,29,POPLATEK MESICNE,Salary account,1997-10-08,Single Owner
1608,26,POPLATEK MESICNE,Salary account,1997-10-08,Single Owner
1494,1,POPLATEK MESICNE,NRI account,1997-10-08,Single Owner
2272,48,POPLATEK MESICNE,Savings account,1997-10-08,Single Owner
2634,45,POPLATEK MESICNE,Savings account,1997-10-08,Joint Account
4143,55,POPLATEK MESICNE,Salary account,1997-10-07,Single Owner
2133,11,POPLATEK MESICNE,Salary account,1997-10-07,Joint Account
3342,59,POPLATEK MESICNE,NRI account,1997-10-06,Joint Account
2715,42,POPLATEK MESICNE,Salary account,1997-10-06,Joint Account
1596,70,POPLATEK MESICNE,NRI account,1997-10-05,Single Owner
4116,6,POPLATEK MESICNE,NRI account,1997-10-05,Single Owner
3401,38,POPLATEK TYDNE,Salary account,1997-10-04,Single Owner
2036,70,POPLATEK MESICNE,NRI account,1997-10-03,Single Owner
6866,14,POPLATEK MESICNE,Savings account,1997-10-02,Single Owner
4132,36,POPLATEK MESICNE,Savings account,1997-10-02,Single Owner
2136,75,POPLATEK MESICNE,Savings account,1997-10-02,Single Owner
2370,51,POPLATEK MESICNE,Savings account,1997-10-01,Single Owner
1379,47,POPLATEK MESICNE,NRI account,1997-10-01,Single Owner
1313,45,POPLATEK MESICNE,NRI account,1997-10-01,Single Owner
129,74,POPLATEK MESICNE,Savings account,1997-10-01,Joint Account
2007,45,POPLATEK MESICNE,Savings account,1997-09-29,Single Owner
1064,70,POPLATEK MESICNE,NRI account,1997-09-29,Single Owner
7274,11,POPLATEK MESICNE,NRI account,1997-09-28,Single Owner
3383,29,POPLATEK MESICNE,NRI account,1997-09-28,Single Owner
2461,1,POPLATEK MESICNE,Salary account,1997-09-28,Single Owner
3916,8,POPLATEK MESICNE,NRI account,1997-09-28,Single Owner
2745,60,POPLATEK MESICNE,NRI account,1997-09-28,Single Owner
10152,34,POPLATEK MESICNE,NRI account,1997-09-28,Single Owner
2846,1,POPLATEK MESICNE,NRI account,1997-09-27,Single Owner
1443,54,POPLATEK MESICNE,NRI account,1997-09-27,Single Owner
1992,48,POPLATEK MESICNE,NRI account,1997-09-27,Joint Account
755,38,POPLATEK MESICNE,NRI account,1997-09-27,Single Owner
3106,12,POPLATEK TYDNE,Salary account,1997-09-26,Single Owner
2312,65,POPLATEK MESICNE,NRI account,1997-09-26,Single Owner
177,1,POPLATEK MESICNE,NRI account,1997-09-26,Single Owner
4128,64,POPLATEK MESICNE,Savings account,1997-09-26,Single Owner
89,68,POPLATEK MESICNE,NRI account,1997-09-25,Single Owner
4616,1,POPLATEK MESICNE,Salary account,1997-09-24,Single Owner
3757,64,POPLATEK MESICNE,Savings account,1997-09-24,Single Owner
2942,44,POPLATEK MESICNE,NRI account,1997-09-24,Single Owner
1814,17,POPLATEK MESICNE,NRI account,1997-09-23,Joint Account
1718,71,POPLATEK MESICNE,Salary account,1997-09-23,Single Owner
16,12,POPLATEK MESICNE,Savings account,1997-09-23,Single Owner
1101,4,POPLATEK MESICNE,Salary account,1997-09-22,Single Owner
179,1,POPLATEK TYDNE,Savings account,1997-09-22,Single Owner
3610,1,POPLATEK MESICNE,NRI account,1997-09-22,Single Owner
3463,38,POPLATEK MESICNE,Salary account,1997-09-21,Single Owner
3103,1,POPLATEK PO OBRATU,NRI account,1997-09-21,Single Owner
1876,1,POPLATEK MESICNE,Savings account,1997-09-20,Single Owner
2765,69,POPLATEK MESICNE,NRI account,1997-09-20,Single Owner
387,72,POPLATEK MESICNE,Salary account,1997-09-19,Single Owner
3300,71,POPLATEK MESICNE,NRI account,1997-09-19,Single Owner
3657,62,POPLATEK MESICNE,NRI account,1997-09-19,Joint Account
823,71,POPLATEK MESICNE,Savings account,1997-09-19,Single Owner
5283,15,POPLATEK MESICNE,Savings account,1997-09-18,Single Owner
1438,23,POPLATEK TYDNE,Salary account,1997-09-18,Single Owner
328,1,POPLATEK MESICNE,NRI account,1997-09-18,Joint Account
118,68,POPLATEK MESICNE,NRI account,1997-09-18,Single Owner
3603,3,POPLATEK MESICNE,Savings account,1997-09-17,Single Owner
1872,61,POPLATEK MESICNE,NRI account,1997-09-17,Joint Account
3671,21,POPLATEK MESICNE,NRI account,1997-09-17,Joint Account
735,70,POPLATEK MESICNE,NRI account,1997-09-17,Single Owner
3274,76,POPLATEK MESICNE,NRI account,1997-09-17,Single Owner
5870,75,POPLATEK MESICNE,Salary account,1997-09-17,Single Owner
1946,46,POPLATEK MESICNE,Savings account,1997-09-16,Single Owner
402,68,POPLATEK MESICNE,Salary account,1997-09-14,Single Owner
9156,18,POPLATEK MESICNE,Savings account,1997-09-14,Single Owner
3987,25,POPLATEK MESICNE,Salary account,1997-09-14,Single Owner
3852,20,POPLATEK MESICNE,NRI account,1997-09-14,Single Owner
384,24,POPLATEK TYDNE,NRI account,1997-09-14,Single Owner
677,70,POPLATEK MESICNE,NRI account,1997-09-13,Single Owner
6505,7,POPLATEK MESICNE,Savings account,1997-09-13,Single Owner
1240,1,POPLATEK MESICNE,NRI account,1997-09-11,Single Owner
1783,70,POPLATEK MESICNE,Salary account,1997-09-11,Single Owner
7156,71,POPLATEK MESICNE,NRI account,1997-09-11,Single Owner
1085,42,POPLATEK MESICNE,NRI account,1997-09-11,Single Owner
2684,7,POPLATEK MESICNE,Salary account,1997-09-10,Single Owner
2459,55,POPLATEK MESICNE,Savings account,1997-09-10,Joint Account
2997,40,POPLATEK MESICNE,Salary account,1997-09-09,Single Owner
10650,76,POPLATEK MESICNE,NRI account,1997-09-09,Single Owner
1303,23,POPLATEK MESICNE,Salary account,1997-09-08,Single Owner
783,1,POPLATEK MESICNE,NRI account,1997-09-08,Single Owner
1729,53,POPLATEK MESICNE,NRI account,1997-09-08,Joint Account
1790,70,POPLATEK MESICNE,NRI account,1997-09-08,Single Owner
2351,74,POPLATEK MESICNE,Savings account,1997-09-08,Single Owner
2480,35,POPLATEK MESICNE,NRI account,1997-09-07,Single Owner
2444,76,POPLATEK MESICNE,Savings account,1997-09-07,Single Owner
3516,36,POPLATEK TYDNE,Savings account,1997-09-07,Single Owner
178,59,POPLATEK MESICNE,Salary account,1997-09-06,Single Owner
2079,55,POPLATEK MESICNE,NRI account,1997-09-06,Single Owner
3444,53,POPLATEK TYDNE,Salary account,1997-09-04,Single Owner
1764,68,POPLATEK MESICNE,Savings account,1997-09-04,Single Owner
4158,27,POPLATEK MESICNE,Salary account,1997-09-04,Single Owner
585,4,POPLATEK MESICNE,NRI account,1997-09-04,Single Owner
5698,1,POPLATEK MESICNE,NRI account,1997-09-04,Joint Account
10243,44,POPLATEK MESICNE,NRI account,1997-09-03,Single Owner
1026,20,POPLATEK MESICNE,Salary account,1997-09-03,Joint Account
45,64,POPLATEK MESICNE,Salary account,1997-09-02,Single Owner
2172,1,POPLATEK MESICNE,Salary account,1997-09-02,Joint Account
909,30,POPLATEK MESICNE,NRI account,1997-09-02,Joint Account
3950,48,POPLATEK MESICNE,Salary account,1997-09-01,Single Owner
2142,42,POPLATEK MESICNE,Salary account,1997-09-01,Joint Account
2492,73,POPLATEK MESICNE,Savings account,1997-09-01,Single Owner
3901,12,POPLATEK MESICNE,NRI account,1997-08-30,Single Owner
2422,27,POPLATEK MESICNE,Savings account,1997-08-29,Joint Account
3556,58,POPLATEK MESICNE,Salary account,1997-08-29,Single Owner
1154,5,POPLATEK TYDNE,Savings account,1997-08-29,Single Owner
2317,68,POPLATEK MESICNE,Savings account,1997-08-28,Joint Account
3828,44,POPLATEK MESICNE,Salary account,1997-08-28,Single Owner
3798,15,POPLATEK MESICNE,Salary account,1997-08-27,Single Owner
859,13,POPLATEK MESICNE,NRI account,1997-08-26,Joint Account
2394,62,POPLATEK MESICNE,Savings account,1997-08-23,Joint Account
8639,46,POPLATEK MESICNE,Salary account,1997-08-22,Single Owner
4003,25,POPLATEK MESICNE,Salary account,1997-08-22,Single Owner
3537,45,POPLATEK MESICNE,Salary account,1997-08-22,Single Owner
3070,56,POPLATEK MESICNE,Salary account,1997-08-21,Single Owner
645,70,POPLATEK MESICNE,Savings account,1997-08-21,Single Owner
1795,53,POPLATEK MESICNE,Savings account,1997-08-21,Single Owner
2442,14,POPLATEK MESICNE,NRI account,1997-08-21,Single Owner
2845,62,POPLATEK MESICNE,Salary account,1997-08-21,Single Owner
1845,47,POPLATEK MESICNE,NRI account,1997-08-20,Joint Account
1181,69,POPLATEK MESICNE,NRI account,1997-08-20,Joint Account
2607,1,POPLATEK MESICNE,NRI account,1997-08-19,Single Owner
653,27,POPLATEK MESICNE,NRI account,1997-08-19,Joint Account
10799,76,POPLATEK MESICNE,Salary account,1997-08-19,Single Owner
1567,10,POPLATEK MESICNE,NRI account,1997-08-19,Single Owner
996,47,POPLATEK MESICNE,NRI account,1997-08-18,Single Owner
37,20,POPLATEK MESICNE,Salary account,1997-08-18,Single Owner
2829,66,POPLATEK MESICNE,Salary account,1997-08-18,Single Owner
529,39,POPLATEK MESICNE,Savings account,1997-08-18,Single Owner
1857,37,POPLATEK MESICNE,Savings account,1997-08-18,Joint Account
9140,32,POPLATEK MESICNE,Salary account,1997-08-18,Single Owner
2485,41,POPLATEK MESICNE,Salary account,1997-08-18,Single Owner
1881,60,POPLATEK MESICNE,Savings account,1997-08-17,Single Owner
2595,1,POPLATEK MESICNE,NRI account,1997-08-17,Single Owner
13,76,POPLATEK MESICNE,Salary account,1997-08-17,Joint Account
1355,1,POPLATEK MESICNE,Savings account,1997-08-16,Single Owner
3062,17,POPLATEK MESICNE,Savings account,1997-08-15,Single Owner
9433,59,POPLATEK MESICNE,Salary account,1997-08-14,Single Owner
509,36,POPLATEK MESICNE,NRI account,1997-08-14,Joint Account
1747,30,POPLATEK MESICNE,Salary account,1997-08-14,Single Owner
2073,59,POPLATEK MESICNE,Savings account,1997-08-14,Single Owner
3097,66,POPLATEK MESICNE,Savings account,1997-08-14,Single Owner
792,3,POPLATEK MESICNE,Savings account,1997-08-13,Single Owner
1043,1,POPLATEK MESICNE,NRI account,1997-08-13,Joint Account
591,1,POPLATEK MESICNE,Savings account,1997-08-12,Single Owner
5572,15,POPLATEK MESICNE,Salary account,1997-08-11,Single Owner
3046,74,POPLATEK MESICNE,Savings account,1997-08-11,Single Owner
2138,75,POPLATEK MESICNE,Salary account,1997-08-11,Single Owner
1662,1,POPLATEK MESICNE,Salary account,1997-08-11,Single Owner
386,1,POPLATEK MESICNE,Savings account,1997-08-11,Joint Account
2776,23,POPLATEK MESICNE,Savings account,1997-08-10,Joint Account
785,21,POPLATEK TYDNE,Savings account,1997-08-09,Single Owner
2338,59,POPLATEK MESICNE,Savings account,1997-08-08,Single Owner
1319,56,POPLATEK PO OBRATU,Salary account,1997-08-08,Single Owner
311,50,POPLATEK MESICNE,NRI account,1997-08-08,Joint Account
3293,1,POPLATEK MESICNE,Salary account,1997-08-08,Single Owner
1648,40,POPLATEK MESICNE,Salary account,1997-08-08,Single Owner
38,19,POPLATEK TYDNE,Salary account,1997-08-08,Single Owner
1434,70,POPLATEK MESICNE,Savings account,1997-08-08,Single Owner
7437,19,POPLATEK TYDNE,Salary account,1997-08-08,Single Owner
4784,46,POPLATEK MESICNE,NRI account,1997-08-08,Joint Account
2644,1,POPLATEK MESICNE,NRI account,1997-08-08,Single Owner
307,26,POPLATEK MESICNE,Savings account,1997-08-07,Single Owner
1951,23,POPLATEK MESICNE,NRI account,1997-08-07,Single Owner
4445,47,POPLATEK MESICNE,Savings account,1997-08-07,Single Owner
2000,5,POPLATEK MESICNE,Salary account,1997-08-06,Single Owner
3724,16,POPLATEK MESICNE,Savings account,1997-08-06,Single Owner
3281,1,POPLATEK MESICNE,Savings account,1997-08-06,Single Owner
326,61,POPLATEK MESICNE,NRI account,1997-08-06,Single Owner
1389,34,POPLATEK MESICNE,Salary account,1997-08-05,Single Owner
1033,32,POPLATEK MESICNE,Savings account,1997-08-05,Single Owner
2449,23,POPLATEK MESICNE,Salary account,1997-08-05,Single Owner
2927,37,POPLATEK MESICNE,NRI account,1997-08-04,Single Owner
4091,9,POPLATEK MESICNE,NRI account,1997-08-04,Single Owner
6602,74,POPLATEK MESICNE,Salary account,1997-08-04,Single Owner
2558,46,POPLATEK MESICNE,Savings account,1997-08-04,Single Owner
3208,29,POPLATEK MESICNE,NRI account,1997-08-04,Single Owner
4533,68,POPLATEK MESICNE,NRI account,1997-08-03,Single Owner
3343,1,POPLATEK MESICNE,NRI account,1997-08-03,Single Owner
3686,77,POPLATEK MESICNE,Salary account,1997-08-03,Joint Account
3381,68,POPLATEK MESICNE,NRI account,1997-08-02,Joint Account
1522,48,POPLATEK MESICNE,Salary account,1997-08-02,Single Owner
41,72,POPLATEK MESICNE,Salary account,1997-08-02,Single Owner
1950,70,POPLATEK MESICNE,Salary account,1997-08-01,Single Owner
811,14,POPLATEK TYDNE,NRI account,1997-08-01,Joint Account
3185,45,POPLATEK MESICNE,NRI account,1997-07-29,Joint Account
5758,44,POPLATEK MESICNE,NRI account,1997-07-28,Single Owner
1776,36,POPLATEK MESICNE,Savings account,1997-07-27,Single Owner
547,24,POPLATEK MESICNE,Savings account,1997-07-27,Single Owner
2197,46,POPLATEK MESICNE,Salary account,1997-07-26,Single Owner
2587,1,POPLATEK MESICNE,Salary account,1997-07-25,Single Owner
3346,1,POPLATEK MESICNE,Salary account,1997-07-25,Joint Account
1454,46,POPLATEK MESICNE,NRI account,1997-07-25,Single Owner
2196,11,POPLATEK MESICNE,Savings account,1997-07-24,Single Owner
2646,6,POPLATEK MESICNE,Salary account,1997-07-24,Single Owner
2722,69,POPLATEK MESICNE,Salary account,1997-07-24,Single Owner
2679,67,POPLATEK MESICNE,Salary account,1997-07-24,Single Owner
1794,74,POPLATEK MESICNE,Salary account,1997-07-23,Single Owner
801,16,POPLATEK MESICNE,NRI account,1997-07-23,Single Owner
3057,9,POPLATEK MESICNE,Salary account,1997-07-23,Single Owner
5290,34,POPLATEK MESICNE,Salary account,1997-07-21,Single Owner
2316,1,POPLATEK MESICNE,Savings account,1997-07-21,Single Owner
611,46,POPLATEK MESICNE,Salary account,1997-07-21,Joint Account
1890,1,POPLATEK TYDNE,NRI account,1997-07-20,Single Owner
2204,9,POPLATEK MESICNE,NRI account,1997-07-20,Joint Account
970,18,POPLATEK MESICNE,Savings account,1997-07-20,Single Owner
211,28,POPLATEK MESICNE,Savings account,1997-07-19,Single Owner
1432,27,POPLATEK MESICNE,NRI account,1997-07-19,Joint Account
2369,49,POPLATEK MESICNE,Salary account,1997-07-19,Joint Account
3867,1,POPLATEK MESICNE,Savings account,1997-07-19,Single Owner
680,17,POPLATEK MESICNE,Savings account,1997-07-18,Single Owner
284,54,POPLATEK MESICNE,Savings account,1997-07-18,Single Owner
1027,68,POPLATEK MESICNE,Salary account,1997-07-18,Single Owner
1995,54,POPLATEK MESICNE,Savings account,1997-07-18,Single Owner
2183,54,POPLATEK MESICNE,Salary account,1997-07-17,Single Owner
